City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
383,Opunake,NZ,-39.4556,173.8583,55.62,65,44,5.32,scattered clouds
384,Platanos,GR,37.6667,21.6167,62.08,58,4,5.08,clear sky
385,Esperance,AU,-33.8667,121.9,57.2,85,3,7.45,clear sky
386,Vila,PT,42.0304,-8.1588,38.28,92,100,2.62,light snow
387,Talnakh,RU,69.4865,88.3972,2.21,89,100,1.03,overcast clouds
388,San Matias,BO,-16.3667,-58.4,81.63,69,100,5.12,overcast clouds
389,Katsuura,JP,35.1333,140.3,65.3,83,88,9.62,overcast clouds
390,Bambous Virieux,MU,-20.3428,57.7575,76.21,69,40,14.97,scattered clouds
391,Lazaro Cardenas,MX,17.9583,-102.2,84.29,54,0,12.71,clear sky
392,Chokwe,MZ,-24.5333,32.9833,67.87,91,83,3.96,broken clouds
393,Llanes,ES,43.4198,-4.7549,53.01,86,100,8.7,overcast clouds
394,Lata,PT,40.1629,-8.3327,50.81,98,100,4.34,overcast clouds
395,Kushiro,JP,42.975,144.3747,50.95,81,40,16.11,scattered clouds
396,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,77,75,11.32,broken clouds
397,Alta Floresta,BR,-9.8756,-56.0861,73.74,95,73,3.31,broken clouds
398,Harper,LR,4.375,-7.7169,78.73,83,27,4.45,scattered clouds
399,Ostrovnoy,RU,68.0531,39.5131,29.39,88,100,12.39,overcast clouds
400,Tera,NE,14.0078,0.7531,92.98,10,45,5.91,scattered clouds
401,Namatanai,PG,-3.6667,152.4333,82.53,76,97,6.69,overcast clouds
402,Salinas,US,36.6777,-121.6555,63.21,59,40,14.97,scattered clouds
403,Gladstone,AU,-23.85,151.25,73.78,68,67,12.66,broken clouds
404,Kyra,RU,49.5776,111.9753,35.31,80,54,7.43,broken clouds
405,Yumen,CN,40.2833,97.2,50.13,15,96,2.19,overcast clouds
406,Matamoros,MX,25.5333,-103.25,96.91,16,20,13.8,few clouds
407,Angola,AO,-12.5,18.5,58.21,75,65,2.89,broken clouds
408,Lebu,CL,-37.6167,-73.65,55.72,88,77,7.63,broken clouds
409,Gravelbourg,CA,49.8834,-106.5512,37.67,84,100,12.62,overcast clouds
410,Abu Samrah,SY,35.3029,37.1841,66.07,17,24,6.33,few clouds
