City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Manjeshwar,IN,2022-04-19 23:00:28,12.7194,74.8861,81.55,81,88,4.85
224,Peachtree City,US,2022-04-19 23:00:29,33.3968,-84.5958,64.56,31,0,8.05
225,Oum Hadjer,TD,2022-04-19 23:00:29,13.2954,19.6966,88.92,17,36,15.23
226,Iqaluit,CA,2022-04-19 23:00:14,63.7506,-68.5145,13.69,61,100,5.01
227,Ribeira Grande,PT,2022-04-19 23:00:30,38.5167,-28.7,61.02,70,35,9.42
228,Kloulklubed,PW,2022-04-19 23:00:30,7.0419,134.2556,79.3,75,100,13.35
229,Vanavara,RU,2022-04-19 23:00:31,60.34,102.2797,25.3,94,100,7.09
230,Trincomalee,LK,2022-04-19 23:00:31,8.5711,81.2335,79.99,83,57,3.87
231,Labuhan,ID,2022-04-19 23:01:32,-6.8844,112.2051,75.58,92,100,3.11
232,Olafsvik,IS,2022-04-19 23:01:32,64.8945,-23.7142,42.26,78,100,18.75
233,Nantucket,US,2022-04-19 22:58:50,41.2835,-70.0995,48.0,75,88,25.19
234,Igrim,RU,2022-04-19 23:01:32,63.1906,64.4162,28.87,94,27,7.05
235,Bayan,CN,2022-04-19 23:01:33,46.0833,127.4,63.48,30,39,24.7
236,Griffith,US,2022-04-19 23:00:26,41.5284,-87.4237,50.14,57,0,10.36
237,Havoysund,NO,2022-04-19 23:01:33,70.9963,24.6622,35.83,97,93,9.53
238,Isoka,ZM,2022-04-19 23:01:33,-10.1606,32.6335,60.49,98,37,0.56
239,Lufilufi,WS,2022-04-19 23:01:34,-13.8745,-171.5986,86.79,71,21,15.82
240,Clyde River,CA,2022-04-19 23:01:34,70.4692,-68.5914,-10.05,89,50,3.29
241,Aljustrel,PT,2022-04-19 23:01:35,37.8776,-8.1652,48.15,67,14,18.66
242,Vao,NC,2022-04-19 23:01:35,-22.6667,167.4833,75.2,70,0,5.17
243,Esperance,AU,2022-04-19 23:01:03,-33.8667,121.9,57.04,68,66,7.38
244,Maniitsoq,GL,2022-04-19 23:01:35,65.4167,-52.9,13.15,72,98,11.59
245,Khandyga,RU,2022-04-19 23:01:36,62.6667,135.6,29.25,91,100,7.99
246,Angoram,PG,2022-04-19 23:01:36,-4.0625,144.0661,79.72,84,93,2.98
247,Gorin,RU,2022-04-19 23:01:36,51.1983,136.6669,45.25,78,89,4.65
248,Patiya,BD,2022-04-19 23:01:21,22.2931,91.9762,74.16,97,12,2.68
249,Korla,CN,2022-04-19 22:59:57,41.7597,86.1469,62.28,20,97,4.32
250,Butaritari,KI,2022-04-19 23:01:37,3.0707,172.7902,81.57,75,73,17.18
251,Naze,JP,2022-04-19 23:01:37,28.3667,129.4833,65.26,60,90,5.53
252,Auki,SB,2022-04-19 23:01:37,-8.7676,160.7034,84.65,67,39,2.59
253,Ericeira,PT,2022-04-19 23:01:38,38.9627,-9.4156,56.3,68,60,32.5
254,Lebu,CL,2022-04-19 23:01:38,-37.6167,-73.65,54.28,95,100,0.87
255,Sept-Iles,CA,2022-04-19 23:01:38,50.2001,-66.3821,30.72,97,100,28.77
256,Nizwa,OM,2022-04-19 23:01:39,22.9333,57.5333,77.86,13,0,2.82
257,Santa Maria,BR,2022-04-19 23:01:39,-29.6842,-53.8069,64.42,80,22,4.5
258,Lompoc,US,2022-04-19 23:01:40,34.6391,-120.4579,77.56,75,0,18.99
259,San Quintin,MX,2022-04-19 23:01:40,30.4833,-115.95,67.91,59,100,22.7
260,Banepa,NP,2022-04-19 23:01:40,27.6298,85.5214,59.32,88,40,3.44
261,Regina,CA,2022-04-19 22:59:13,50.4501,-104.6178,30.18,85,100,23.02
262,Taoudenni,ML,2022-04-19 22:58:37,22.6783,-3.9836,82.74,9,84,4.29
263,Praya,CV,2022-04-19 23:01:41,14.9215,-23.5087,72.14,73,20,14.97
264,Shimoda,JP,2022-04-19 23:01:41,34.6667,138.95,51.1,85,60,14.85
265,Zastron,ZA,2022-04-19 23:01:41,-30.3023,27.084,51.82,60,0,3.6
266,Spisska Nova Ves,SK,2022-04-19 23:01:42,48.9446,20.5615,31.19,86,74,3.27
267,Cairns,AU,2022-04-19 23:01:24,-16.9167,145.7667,83.07,79,75,11.5
268,Kokopo,PG,2022-04-19 23:01:42,-4.352,152.2633,82.47,71,64,0.96
269,Portland,US,2022-04-19 22:57:08,45.5234,-122.6762,49.23,87,100,8.01
270,Alghero,IT,2022-04-19 23:01:43,40.5589,8.3181,53.69,94,0,0.0
271,Nyurba,RU,2022-04-19 23:01:43,63.2842,118.3319,17.67,90,100,8.37
272,Harbour Breton,CA,2022-04-19 23:01:43,47.4833,-55.7983,34.93,79,95,18.45
273,Port Moresby,PG,2022-04-19 23:01:44,-9.4431,147.1797,81.54,73,94,1.5
274,Half Moon Bay,US,2022-04-19 22:57:49,37.4636,-122.4286,68.41,56,0,12.66
275,Faanui,PF,2022-04-19 23:02:44,-16.4833,-151.75,81.46,68,21,5.28
276,Kodinsk,RU,2022-04-19 23:02:44,58.6881,99.1844,30.0,93,100,11.32
277,Agadir,MA,2022-04-19 23:02:45,30.4202,-9.5982,63.05,54,67,3.29
278,Sur,OM,2022-04-19 23:02:45,22.5667,59.5289,82.35,54,0,10.54
279,Sorland,NO,2022-04-19 23:02:45,67.667,12.6934,43.74,87,23,12.55
280,Asau,RO,2022-04-19 23:02:46,46.4333,26.4,42.28,86,100,2.66
281,Valera,VE,2022-04-19 23:02:46,9.3178,-70.6036,74.35,89,99,3.36
282,Mucurapo,TT,2022-04-19 23:02:46,10.6667,-61.5333,81.25,76,99,11.3
283,Oxbow,CA,2022-04-19 23:02:47,49.2333,-102.1676,29.64,83,100,17.49
284,Touros,BR,2022-04-19 23:02:47,-5.1989,-35.4608,80.06,76,61,12.8
285,Matara,LK,2022-04-19 23:02:47,5.9485,80.5353,78.28,89,100,6.44
286,Huarmey,PE,2022-04-19 23:02:48,-10.0681,-78.1522,69.49,79,54,9.64
